id,product_id,order_id,quantity
1,39,1,2
2,47,1,2
3,39,1,1
4,18,2,1
5,10,2,1
6,29,3,1
7,4,3,3
8,48,4,3
9,6,5,2
10,28,6,1
11,27,6,2
12,23,7,3
13,11,7,2
14,37,7,3
15,46,8,2
16,9,8,2
17,33,8,2
18,39,8,1
19,27,9,1
20,41,9,1
21,28,10,3
22,21,10,3
23,40,10,3
24,8,10,1
25,13,11,3
26,40,11,3
27,30,12,1
28,45,12,1
29,42,12,2
30,6,12,1
31,38,13,3
32,42,14,1
33,39,14,2
34,36,14,2
35,2,14,1
36,45,15,2
37,43,15,3
38,35,16,3
39,41,16,1
40,14,16,2
41,8,17,1
42,33,17,2
43,2,17,1
44,25,18,2
45,3,18,2
46,42,19,1
47,1,19,2
48,5,19,1
49,42,19,3
50,42,20,2
51,45,20,1
52,23,20,3
53,21,21,3
54,36,21,1
55,33,21,3
56,36,21,1
57,28,21,3
58,29,22,3
59,3,22,2
60,1,23,3
61,12,23,2
62,37,23,3
63,15,24,3
64,17,24,3
65,29,24,1
66,32,25,3
67,35,25,4
68,8,26,1
69,43,26,2
70,24,26,3
71,10,26,3
72,4,27,1
73,19,27,2
74,29,27,3
75,47,28,3
76,40,28,1
77,42,28,3
78,3,28,2
79,43,29,3
80,16,29,3
81,45,29,3
82,16,30,3
83,46,30,1
84,40,30,3
85,16,30,5
